Description,Quantity,Average_Daily_Sales,Current_Stock,Reorder_Level,Need_Reorder,Recommended_Order
4 LILY  BOTANICAL DINNER CANDLES,473,1.2680965147453083,215,9.0,False,0.0
4 PEAR BOTANICAL DINNER CANDLES,755,2.0241286863270775,90,14.0,False,0.0
4 PINK DINNER CANDLE SILVER FLOCK,126,0.3378016085790885,429,2.0,False,0.0
4 PINK FLOCK CHRISTMAS BALLS,37,0.09919571045576407,59,1.0,False,0.0
4 ROSE PINK DINNER CANDLES,138,0.3699731903485255,369,3.0,False,0.0
4 SKY BLUE DINNER CANDLES,58,0.1554959785522788,397,1.0,False,0.0
4 TRADITIONAL SPINNING TOPS,4491,12.040214477211796,11,84.0,True,73.0
4 VANILLA BOTANICAL CANDLES,900,2.4128686327077746,399,17.0,False,0.0
4 WILDFLOWER BOTANICAL CANDLES,303,0.8123324396782842,63,6.0,False,0.0
5 HOOK HANGER MAGIC TOADSTOOL,631,1.6916890080428955,115,12.0,False,0.0
5 HOOK HANGER RED MAGIC TOADSTOOL,3055,8.190348525469169,269,57.0,False,0.0
5 STRAND GLASS NECKLACE AMBER,2,0.005361930294906166,319,0.0,False,0.0
5 STRAND GLASS NECKLACE AMETHYST,2,0.005361930294906166,486,0.0,False,0.0
5 STRAND GLASS NECKLACE BLACK,8,0.021447721179624665,200,0.0,False,0.0
5 STRAND GLASS NECKLACE CRYSTAL,17,0.045576407506702415,411,0.0,False,0.0
50'S CHRISTMAS PAPER GIFT BAG,1327,3.557640750670241,227,25.0,False,0.0
50CM METAL STRING WITH  7 CLIPS,222,0.5951742627345844,53,4.0,False,0.0
6 CHOCOLATE LOVE HEART T-LIGHTS,1018,2.7292225201072386,171,19.0,False,0.0
6 EGG HOUSE PAINTED WOOD,258,0.6916890080428955,211,5.0,False,0.0
6 GIFT TAGS 50'S CHRISTMAS ,3346,8.970509383378015,455,63.0,False,0.0
6 GIFT TAGS VINTAGE CHRISTMAS ,3735,10.013404825737265,493,70.0,False,0.0
6 RIBBONS ELEGANT CHRISTMAS ,1565,4.195710455764075,279,29.0,False,0.0
6 RIBBONS EMPIRE  ,1035,2.774798927613941,360,19.0,False,0.0
6 RIBBONS RUSTIC CHARM,8605,23.06970509383378,313,161.0,False,0.0
6 RIBBONS SHIMMERING PINKS ,1001,2.683646112600536,280,19.0,False,0.0
6 ROCKET BALLOONS ,1768,4.7399463806970505,465,33.0,False,0.0
60 CAKE CASES DOLLY GIRL DESIGN,7247,19.428954423592494,471,136.0,False,0.0
60 CAKE CASES VINTAGE CHRISTMAS,14735,39.50402144772118,224,277.0,True,53.0
60 GOLD AND SILVER FAIRY CAKE CASES,2,0.005361930294906166,261,0.0,False,0.0
60 TEATIME FAIRY CAKE CASES,17689,47.42359249329759,199,332.0,True,133.0
6PC WOOD PLATE SET DISPOSABLE,405,1.0857908847184987,305,8.0,False,0.0
70'S ALPHABET WALL ART,150,0.40214477211796246,222,3.0,False,0.0
72 CAKE CASES VINTAGE CHRISTMAS,24,0.064343163538874,217,0.0,False,0.0
72 SWEETHEART FAIRY CAKE CASES,13070,35.0402144772118,246,245.0,False,0.0
75 BLACK PETIT FOUR CASES,57,0.15281501340482573,347,1.0,False,0.0
75 GREEN FAIRY CAKE CASES,28,0.07506702412868632,376,1.0,False,0.0
75 GREEN PETIT FOUR CASES,305,0.8176943699731903,62,6.0,False,0.0
A PRETTY THANK YOU CARD,438,1.1742627345844503,289,8.0,False,0.0
A4 WALL TIDY BLUE OFFICE,114,0.30563002680965146,419,2.0,False,0.0
A4 WALL TIDY RED FLOWERS,13,0.03485254691689008,226,0.0,False,0.0
ABC TREASURE BOOK BOX ,2090,5.603217158176943,261,39.0,False,0.0
ABSTRACT CIRCLE JOURNAL ,108,0.289544235924933,197,2.0,False,0.0
ABSTRACT CIRCLES POCKET BOOK,161,0.4316353887399464,389,3.0,False,0.0
ABSTRACT CIRCLES SKETCHBOOK ,128,0.34316353887399464,50,2.0,False,0.0
ACRYLIC GEOMETRIC LAMP,12,0.032171581769437,166,0.0,False,0.0
"ACRYLIC HANGING JEWEL,BLUE",268,0.7184986595174263,24,5.0,False,0.0
"ACRYLIC HANGING JEWEL,PINK",95,0.2546916890080429,310,2.0,False,0.0
"ACRYLIC JEWEL ANGEL,PINK",78,0.20911528150134048,74,1.0,False,0.0
"ACRYLIC JEWEL ICICLE, BLUE",31,0.08310991957104558,354,1.0,False,0.0
"ACRYLIC JEWEL ICICLE, PINK",264,0.707774798927614,336,5.0,False,0.0
"ACRYLIC JEWEL SNOWFLAKE, PINK",162,0.4343163538873995,18,3.0,False,0.0
"ACRYLIC JEWEL SNOWFLAKE,PINK",6,0.0160857908847185,353,0.0,False,0.0
ADULT APRON APPLE DELIGHT,180,0.48257372654155495,138,3.0,False,0.0
ADVENT CALENDAR GINGHAM SACK,836,2.2412868632707776,145,16.0,False,0.0
AFGHAN SLIPPER SOCK PAIR,511,1.3699731903485255,481,10.0,False,0.0
AGED GLASS SILVER T-LIGHT HOLDER,10088,27.0455764075067,72,189.0,True,117.0
AIRLINE BAG VINTAGE JET SET BROWN,253,0.67828418230563,148,5.0,False,0.0
AIRLINE BAG VINTAGE JET SET RED,448,1.2010723860589811,90,8.0,False,0.0
AIRLINE BAG VINTAGE JET SET WHITE,193,0.517426273458445,401,4.0,False,0.0
AIRLINE BAG VINTAGE TOKYO 78,830,2.225201072386059,172,16.0,False,0.0
AIRLINE BAG VINTAGE WORLD CHAMPION ,221,0.5924932975871313,428,4.0,False,0.0
"AIRLINE LOUNGE,METAL SIGN",497,1.3324396782841823,298,9.0,False,0.0
ALARM CLOCK BAKELIKE CHOCOLATE,1776,4.761394101876675,388,33.0,False,0.0
ALARM CLOCK BAKELIKE GREEN,5641,15.123324396782841,270,106.0,False,0.0
ALARM CLOCK BAKELIKE IVORY,2728,7.313672922252011,499,51.0,False,0.0
ALARM CLOCK BAKELIKE ORANGE,2182,5.849865951742627,240,41.0,False,0.0
ALARM CLOCK BAKELIKE PINK,5074,13.603217158176944,50,95.0,True,45.0
ALARM CLOCK BAKELIKE RED ,7221,19.359249329758715,37,136.0,True,99.0
ALPHABET HEARTS STICKER SHEET,371,0.9946380697050938,144,7.0,False,0.0
ALPHABET STENCIL CRAFT,2673,7.166219839142091,210,50.0,False,0.0
ALUMINIUM HEART,30,0.08042895442359249,337,1.0,False,0.0
ALUMINIUM STAMPED HEART,775,2.0777479892761392,277,15.0,False,0.0
AMBER BERTIE GLASS BEAD BAG CHARM,1,0.002680965147453083,427,0.0,False,0.0
AMBER CHUNKY BEAD BRACELET W STRAP,8,0.021447721179624665,42,0.0,False,0.0
AMBER CHUNKY GLASS+BEAD NECKLACE,6,0.0160857908847185,57,0.0,False,0.0
AMBER DIAMANTE EXPANDABLE RING,22,0.058981233243967826,416,0.0,False,0.0
AMBER DROP EARRINGS W LONG BEADS,20,0.05361930294906166,71,0.0,False,0.0
AMBER FINE BEAD NECKLACE W TASSEL,3,0.00804289544235925,225,0.0,False,0.0
AMBER GLASS TASSLE BAG CHARM,8,0.021447721179624665,302,0.0,False,0.0
AMBER GLASS/SHELL/PEARL NECKLACE,1,0.002680965147453083,108,0.0,False,0.0
AMBER GLASS/SILVER BRACELET,10,0.02680965147453083,181,0.0,False,0.0
AMETHYST CHUNKY BEAD BRACELET W STR,21,0.05630026809651475,369,0.0,False,0.0
AMETHYST DIAMANTE EXPANDABLE RING,13,0.03485254691689008,223,0.0,False,0.0
AMETHYST HOOP EARRING FLORAL LEAF,5,0.013404825737265416,484,0.0,False,0.0
ANGEL DECORATION 3 BUTTONS ,3532,9.46916890080429,44,66.0,True,22.0
ANGEL DECORATION PAINTED ZINC ,635,1.7024128686327078,458,12.0,False,0.0
ANGEL DECORATION STARS ON DRESS,2459,6.592493297587131,236,46.0,False,0.0
ANGEL DECORATION WITH LACE PADDED,212,0.5683646112600537,110,4.0,False,0.0
ANIMAL STICKERS,1773,4.753351206434316,440,33.0,False,0.0
ANIMALS AND NATURE WALL ART,267,0.7158176943699732,471,5.0,False,0.0
ANT COPPER LIME BOUDICCA BRACELET,45,0.12064343163538874,140,1.0,False,0.0
ANT COPPER PINK BOUDICCA BRACELET,31,0.08310991957104558,266,1.0,False,0.0
ANT COPPER RED BOUDICCA BRACELET,9,0.024128686327077747,14,0.0,False,0.0
ANT COPPER TURQ BOUDICCA BRACELET,45,0.12064343163538874,227,1.0,False,0.0
ANT SILVER FUSCHIA BOUDICCA RING,14,0.03753351206434316,264,0.0,False,0.0
ANT SILVER LIME GREEN BOUDICCA RING,27,0.07238605898123325,407,1.0,False,0.0
ANT SILVER PURPLE BOUDICCA RING,10,0.02680965147453083,368,0.0,False,0.0
ANT SILVER TURQUOISE BOUDICCA RING,6,0.0160857908847185,292,0.0,False,0.0
ANT WHITE WIRE HEART SPIRAL,286,0.7667560321715817,402,5.0,False,0.0
ANTIQUE ALL GLASS CANDLESTICK,567,1.520107238605898,216,11.0,False,0.0
ANTIQUE CREAM CUTLERY CUPBOARD,14,0.03753351206434316,24,0.0,False,0.0
ANTIQUE CREAM CUTLERY SHELF ,28,0.07506702412868632,355,1.0,False,0.0
ANTIQUE GLASS DRESSING TABLE POT,1643,4.404825737265416,51,31.0,False,0.0
ANTIQUE GLASS HEART DECORATION ,296,0.7935656836461126,389,6.0,False,0.0
ANTIQUE GLASS PEDESTAL BOWL,890,2.386058981233244,470,17.0,False,0.0
ANTIQUE GLASS PLACE SETTING,122,0.32707774798927614,188,2.0,False,0.0
ANTIQUE HEART SHELF UNIT,267,0.7158176943699732,72,5.0,False,0.0
ANTIQUE IVORY WIRE BOWL SMALL,97,0.26005361930294907,361,2.0,False,0.0
ANTIQUE MID BLUE FLOWER EARRINGS,4,0.010723860589812333,240,0.0,False,0.0
ANTIQUE OLIVE GREEN FLOWER EARRINGS,5,0.013404825737265416,250,0.0,False,0.0
ANTIQUE OPAL WHITE FLOWER EARRINGS,2,0.005361930294906166,61,0.0,False,0.0
ANTIQUE RASPBERRY FLOWER EARRINGS,2,0.005361930294906166,105,0.0,False,0.0
ANTIQUE SILVER BAUBLE LAMP  ,374,1.002680965147453,397,7.0,False,0.0
ANTIQUE SILVER T-LIGHT GLASS,12973,34.78016085790885,231,243.0,True,12.0
ANTIQUE SILVER TEA GLASS ENGRAVED,8273,22.179624664879356,494,155.0,False,0.0
ANTIQUE SILVER TEA GLASS ETCHED,3500,9.383378016085791,416,66.0,False,0.0
ANTIQUE TALL SWIRLGLASS TRINKET POT,765,2.0509383378016084,240,14.0,False,0.0
APOTHECARY MEASURING JAR,64,0.17158176943699732,246,1.0,False,0.0
APPLE BATH SPONGE,1102,2.954423592493298,152,21.0,False,0.0
APRON APPLE DELIGHT,268,0.7184986595174263,180,5.0,False,0.0
APRON MODERN VINTAGE COTTON,443,1.1876675603217157,38,8.0,False,0.0
AQUA BERTIE GLASS BEAD BAG CHARM,19,0.05093833780160858,45,0.0,False,0.0
AREA PATROLLED METAL SIGN,4290,11.501340482573726,22,81.0,True,59.0
ARMY CAMO BOOKCOVER TAPE,17,0.045576407506702415,169,0.0,False,0.0
"ART LIGHTS,FUNK MONKEY",355,0.9517426273458445,336,7.0,False,0.0
ASS COL CIRCLE MOBILE ,474,1.2707774798927614,196,9.0,False,0.0
ASS COL LARGE SAND FROG P'WEIGHT,27,0.07238605898123325,252,1.0,False,0.0
ASS COL SMALL SAND GECKO P'WEIGHT,29,0.0777479892761394,95,1.0,False,0.0
ASS COLOUR GLOWING TIARAS,280,0.7506702412868632,293,5.0,False,0.0
ASS DES PHONE SPONGE CRAFT STICKER,511,1.3699731903485255,75,10.0,False,0.0
ASS FLORAL PRINT MULTI SCREWDRIVER,2754,7.383378016085791,179,52.0,False,0.0
ASS FLORAL PRINT SPIRIT LEVEL ,96,0.257372654155496,54,2.0,False,0.0
ASSORTED BOTTLE TOP  MAGNETS ,2928,7.849865951742627,71,55.0,False,0.0
ASSORTED CAKES FRIDGE MAGNETS,55,0.14745308310991956,450,1.0,False,0.0
ASSORTED CHEESE FRIDGE MAGNETS,163,0.43699731903485256,143,3.0,False,0.0
ASSORTED CIRCULAR MOBILE,645,1.7292225201072386,293,12.0,False,0.0
ASSORTED COLOUR BIRD ORNAMENT,35362,94.80428954423593,37,664.0,True,627.0
ASSORTED COLOUR LIZARD SUCTION HOOK,975,2.613941018766756,117,18.0,False,0.0
ASSORTED COLOUR METAL CAT ,115,0.30831099195710454,53,2.0,False,0.0
ASSORTED COLOUR MINI CASES,1719,4.60857908847185,349,32.0,False,0.0
ASSORTED COLOUR SILK GLASSES CASE,3,0.00804289544235925,295,0.0,False,0.0
ASSORTED COLOUR SUCTION CUP HOOK,202,0.5415549597855228,455,4.0,False,0.0
ASSORTED COLOUR T-LIGHT HOLDER,3361,9.010723860589811,340,63.0,False,0.0
ASSORTED COLOURED CIRCLE MOBILE ,65,0.1742627345844504,137,1.0,False,0.0
ASSORTED COLOURS SILK FAN,21876,58.64879356568365,357,411.0,True,54.0
ASSORTED CREEPY CRAWLIES,2599,6.967828418230563,482,49.0,False,0.0
ASSORTED EASTER DECORATIONS  BELLS,564,1.5120643431635388,240,11.0,False,0.0
ASSORTED EASTER GIFT TAGS,1156,3.099195710455764,199,22.0,False,0.0
ASSORTED FARMYARD ANIMALS IN BUCKET,86,0.23056300268096513,234,2.0,False,0.0
"ASSORTED FLOWER COLOUR ""LEIS""",10297,27.605898123324398,394,193.0,False,0.0
ASSORTED INCENSE PACK,4032,10.809651474530831,386,76.0,False,0.0
ASSORTED LAQUERED INCENSE HOLDERS,2516,6.745308310991957,292,47.0,False,0.0
ASSORTED MINI MADRAS NOTEBOOK,948,2.5415549597855227,455,18.0,False,0.0
ASSORTED MONKEY SUCTION CUP HOOK,555,1.4879356568364612,130,10.0,False,0.0
ASSORTED SANSKRIT MINI NOTEBOOK,109,0.29222520107238603,125,2.0,False,0.0
ASSORTED SHAPES PHOTO CLIP SILVER ,359,0.9624664879356568,470,7.0,False,0.0
ASSORTED TUTTI FRUTTI  FOB NOTEBOOK,541,1.450402144772118,242,10.0,False,0.0
ASSORTED TUTTI FRUTTI BRACELET,2197,5.890080428954423,268,41.0,False,0.0
ASSORTED TUTTI FRUTTI HEART BOX,215,0.5764075067024129,368,4.0,False,0.0
ASSORTED TUTTI FRUTTI KEYRING BALL,1102,2.954423592493298,207,21.0,False,0.0
ASSORTED TUTTI FRUTTI LARGE PURSE,117,0.3136729222520107,465,2.0,False,0.0
ASSORTED TUTTI FRUTTI MIRROR,490,1.3136729222520107,420,9.0,False,0.0
ASSORTED TUTTI FRUTTI NOTEBOOK,235,0.6300268096514745,146,4.0,False,0.0
ASSORTED TUTTI FRUTTI PEN,2452,6.57372654155496,327,46.0,False,0.0
ASSORTED TUTTI FRUTTI SMALL PURSE,654,1.7533512064343164,174,12.0,False,0.0
ASSTD COL BUTTERFLY/CRYSTAL W/CHIME,455,1.2198391420911527,234,9.0,False,0.0
ASSTD DESIGN 3D PAPER STICKERS,1162,3.1152815013404824,316,22.0,False,0.0
ASSTD DESIGN RACING CAR PEN,1252,3.35656836461126,243,23.0,False,0.0
ASSTD FRUIT+FLOWERS FRIDGE MAGNETS,2244,6.016085790884718,181,42.0,False,0.0
ASSTD MULTICOLOUR CIRCLES MUG,1375,3.6863270777479893,161,26.0,False,0.0
ASSTD RASTA KEY-CHAINS,9,0.024128686327077747,472,0.0,False,0.0
BABUSHKA LIGHTS STRING OF 10,467,1.2520107238605898,324,9.0,False,0.0
BABY BOOM RIBBONS ,374,1.002680965147453,383,7.0,False,0.0
BABY MOUSE RED GINGHAM DRESS,73,0.19571045576407506,169,1.0,False,0.0
BAG 125g SWIRLY MARBLES,9272,24.857908847184987,105,174.0,True,69.0
BAG 250g SWIRLY MARBLES,5004,13.415549597855227,481,94.0,False,0.0
BAG 500g SWIRLY MARBLES,1377,3.6916890080428955,242,26.0,False,0.0
BAG OF SILVER STONES,46,0.12332439678284182,189,1.0,False,0.0
BAKING MOULD CHOCOLATE CUP CAKES,12,0.032171581769437,122,0.0,False,0.0
BAKING MOULD CHOCOLATE CUPCAKES,917,2.4584450402144773,327,17.0,False,0.0
BAKING MOULD CUPCAKE CHOCOLATE,12,0.032171581769437,451,0.0,False,0.0
BAKING MOULD EASTER EGG MILK CHOC,876,2.3485254691689006,61,16.0,False,0.0
BAKING MOULD EASTER EGG WHITE CHOC,560,1.5013404825737264,277,11.0,False,0.0
BAKING MOULD HEART MILK CHOCOLATE,1041,2.7908847184986594,304,20.0,False,0.0
BAKING MOULD HEART WHITE CHOCOLATE,794,2.128686327077748,395,15.0,False,0.0
BAKING MOULD ROSE MILK CHOCOLATE,673,1.804289544235925,396,13.0,False,0.0
BAKING MOULD ROSE WHITE CHOCOLATE,258,0.6916890080428955,122,5.0,False,0.0
BAKING MOULD TOFFEE CUP  CHOCOLATE,6,0.0160857908847185,110,0.0,False,0.0
BAKING MOULD TOFFEE CUP CHOCOLATE,866,2.32171581769437,122,16.0,False,0.0
BAKING SET 9 PIECE RETROSPOT ,4797,12.86058981233244,449,90.0,False,0.0
BAKING SET SPACEBOY DESIGN,2153,5.772117962466488,90,40.0,False,0.0
BALLOON ART MAKE YOUR OWN FLOWERS,900,2.4128686327077746,196,17.0,False,0.0
BALLOON PUMP WITH 10 BALLOONS,779,2.0884718498659516,122,15.0,False,0.0
BALLOON WATER BOMB PACK OF 35,5897,15.809651474530831,11,111.0,True,100.0
BALLOONS  WRITING SET ,760,2.037533512064343,139,14.0,False,0.0
BANK ACCOUNT  GREETING  CARD ,265,0.710455764075067,229,5.0,False,0.0
BANQUET BIRTHDAY  CARD  ,1572,4.214477211796247,63,30.0,False,0.0
BAROQUE BUTTERFLY EARRINGS BLACK,2,0.005361930294906166,352,0.0,False,0.0
BAROQUE BUTTERFLY EARRINGS CRYSTAL,1,0.002680965147453083,494,0.0,False,0.0
BASKET OF FLOWERS SEWING KIT,775,2.0777479892761392,233,15.0,False,0.0
BASKET OF TOADSTOOLS,1322,3.544235924932976,234,25.0,False,0.0
BATH BUILDING BLOCK WORD,792,2.123324396782842,394,15.0,False,0.0
BATHROOM HOOK,140,0.3753351206434316,412,3.0,False,0.0
BATHROOM METAL SIGN,5505,14.758713136729222,135,103.0,False,0.0
BATHROOM METAL SIGN ,424,1.1367292225201073,139,8.0,False,0.0
BATHROOM SCALES FOOTPRINTS IN SAND,51,0.13672922252010725,62,1.0,False,0.0
BATHROOM SCALES RUBBER DUCKS,41,0.10991957104557641,181,1.0,False,0.0
"BATHROOM SCALES, TROPICAL BEACH",16,0.04289544235924933,227,0.0,False,0.0
BATHROOM SET LOVE HEART DESIGN,68,0.18230563002680966,169,1.0,False,0.0
BEACH HUT DESIGN BLACKBOARD,34,0.09115281501340483,207,1.0,False,0.0
BEACH HUT KEY CABINET,21,0.05630026809651475,425,0.0,False,0.0
BEACH HUT MIRROR,49,0.13136729222520108,256,1.0,False,0.0
BEACH HUT SHELF W 3 DRAWERS,70,0.1876675603217158,333,1.0,False,0.0
BEADED CHANDELIER T-LIGHT HOLDER,599,1.6058981233243967,448,11.0,False,0.0
BEADED CRYSTAL HEART BLUE  LARGE,479,1.2841823056300268,212,9.0,False,0.0
BEADED CRYSTAL HEART BLUE ON STICK,73,0.19571045576407506,193,1.0,False,0.0
BEADED CRYSTAL HEART BLUE SMALL,77,0.2064343163538874,132,1.0,False,0.0
BEADED CRYSTAL HEART GREEN LARGE,816,2.187667560321716,410,15.0,False,0.0
BEADED CRYSTAL HEART GREEN ON STICK,142,0.3806970509383378,264,3.0,False,0.0
BEADED CRYSTAL HEART GREEN SMALL,101,0.2707774798927614,303,2.0,False,0.0
BEADED CRYSTAL HEART PINK LARGE,552,1.479892761394102,289,10.0,False,0.0
BEADED CRYSTAL HEART PINK ON STICK,115,0.30831099195710454,334,2.0,False,0.0
BEADED CRYSTAL HEART PINK SMALL,166,0.4450402144772118,381,3.0,False,0.0
BEADED LOVE HEART JEWELLERY SET,10,0.02680965147453083,107,0.0,False,0.0
BEADED PEARL HEART WHITE LARGE,77,0.2064343163538874,207,1.0,False,0.0
BEADED PEARL HEART WHITE ON STICK,469,1.257372654155496,479,9.0,False,0.0
BELL HEART ANTIQUE GOLD,12,0.032171581769437,404,0.0,False,0.0
BELL HEART DECORATION,252,0.675603217158177,249,5.0,False,0.0
BELLE JARDINIERE CUSHION COVER,696,1.8659517426273458,153,13.0,False,0.0
BEST DAD CANDLE LETTERS,31,0.08310991957104558,106,1.0,False,0.0
